Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,1.0,1.0,1.0
2,0.352,0.46,0.37
3,0.199,0.376666666667,0.29
4,0.79,0.865555555556,0.77
5,0.79,0.91,0.85
6,0.899,0.954444444444,0.93
7,0.829,0.891111111111,0.82
8,0.841,0.914444444444,0.87
9,0.934,0.932222222222,0.93
10,0.855,0.902222222222,0.86
11,0.916,0.894444444444,0.93
12,0.998,0.998888888889,1.0
13,0.932,0.926666666667,0.96
14,0.636,0.797777777778,0.66
15,0.529,0.555555555556,0.59
16,0.468,0.532222222222,0.44
17,0.582,0.67,0.6
18,0.919,0.942222222222,0.9
19,0.095,0.217777777778,0.09
20,1.0,1.0,1.0
