Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.998,1.0,1.0
2,0.637,0.922222222222,0.79
3,0.537,0.884444444444,0.7
4,0.984,1.0,0.98
5,0.813,0.947777777778,0.8
6,0.981,1.0,0.97
7,0.828,0.943333333333,0.84
8,0.893,0.986666666667,0.9
9,0.962,1.0,0.99
10,0.925,0.997777777778,0.92
11,0.989,1.0,0.99
12,0.994,1.0,0.99
13,0.995,1.0,0.98
14,0.963,1.0,0.99
15,0.527,0.61,0.57
16,0.458,0.603333333333,0.55
17,0.568,0.753333333333,0.66
18,0.878,0.953333333333,0.88
19,0.109,0.232222222222,0.09
20,0.998,1.0,1.0
