Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.999,1.0,0.99
2,0.354,0.481111111111,0.27
3,0.22,0.367777777778,0.3
4,0.804,0.858888888889,0.82
5,0.808,0.916666666667,0.85
6,0.899,0.953333333333,0.9
7,0.83,0.885555555556,0.89
8,0.852,0.901111111111,0.89
9,0.934,0.933333333333,0.95
10,0.846,0.901111111111,0.86
11,0.912,0.902222222222,0.86
12,0.994,0.996666666667,0.99
13,0.935,0.933333333333,0.91
14,0.65,0.784444444444,0.67
15,0.491,0.555555555556,0.56
16,0.486,0.517777777778,0.41
17,0.561,0.684444444444,0.6
18,0.89,0.913333333333,0.95
19,0.08,0.192222222222,0.07
20,1.0,1.0,1.0
