Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.98,1.0,0.97
2,0.632,0.924444444444,0.76
3,0.529,0.86,0.71
4,0.966,1.0,0.97
5,0.798,0.936666666667,0.86
6,0.982,1.0,0.99
7,0.828,0.947777777778,0.87
8,0.879,0.982222222222,0.91
9,0.967,1.0,0.98
10,0.932,1.0,0.94
11,0.976,1.0,0.99
12,0.988,1.0,0.99
13,0.976,0.997777777778,0.97
14,0.98,1.0,0.99
15,0.503,0.603333333333,0.51
16,0.489,0.556666666667,0.48
17,0.578,0.768888888889,0.67
18,0.872,0.947777777778,0.96
19,0.086,0.223333333333,0.07
20,1.0,1.0,1.0
